-,-,-,-,Noch nichts erkannt,-,
-,Blinzelt,-,Blinzelt,Neutral,1.0,
44.833333333333336,20,1.179300336784319,0.2,Neutral,1.0,
17.0,20,1.2957008871054159,0.2,Fearful,1.0,
16.5,20,1.2002631812678513,0.2,Neutral,1.0,
16.5,20,1.2900515973989255,0.2,Fearful,1.0,
87.0,20,1.282659632738403,0.2,Neutral,1.0,
86.5,20,1.2220232403106883,0.2,Neutral,1.0,
86.5,20,1.296314738289479,0.2,Fearful,1.0,
12.0,20,1.0630757332671232,0.2,Fearful,1.0,
88.5,20,0.9331839052978891,0.2,Fearful,1.0,
86.5,20,0.9599658770759278,0.2,Fearful,1.0,
86.5,20,0.9999888530057992,0.2,Fearful,1.0,
51.0,20,1.0111834545185743,0.2,Fearful,1.0,
49.5,20,0.9890842628777685,0.2,Fearful,1.0,
49.5,20,1.0409524312175078,0.2,Fearful,1.0,
87.5,20,1.0782163921482806,0.2,Fearful,1.0,
87.5,20,1.0293718017508868,0.2,Fearful,1.0,
11.5,20,1.0994033182188123,0.2,Fearful,1.0,
12.5,20,1.1719658884897286,0.2,Fearful,1.0,
12.5,20,0.8888170897082303,0.2,Fearful,1.0,
12.5,20,1.1526901795907194,0.2,Fearful,1.0,
49.5,20,0.9948283515184052,0.1,Fearful,1.0,
49.5,20,1.1701617525883996,0.1,Fearful,1.0,
26.833333333333332,20,1.0933269096890803,0.1,Fearful,1.0,
27.333333333333332,20,1.1659746086565383,0.1,Fearful,1.0,
27.166666666666668,20,0.994650410549888,0.1,Angry,1.0,
29.0,20,0.8893157613966554,0.1,Fearful,1.0,
12.0,20,1.0782520205297623,0.1,Neutral,1.0,
12.5,20,1.0544265968964304,0.1,Fearful,1.0,
12.5,20,1.1340096424385218,0.1,Fearful,1.0,
12.5,20,1.1590439807015573,0.1,Neutral,1.0,
85.5,20,0.9553857754827693,0.1,Fearful,1.0,
12.0,20,1.0751064282788794,0.1,Neutral,1.0,
12.0,20,1.1174464157221555,0.1,Angry,1.0,
26.333333333333332,20,0.6635428975854507,0.1,Fearful,0.54497164,
15.0,20,1.2906469448024098,0.1,Angry,1.0,
15.0,20,0.5641934606756849,0.1,Angry,1.0,
25.833333333333332,20,0.9608515042100729,0.1,Fearful,1.0,
17.0,20,1.46272091442633,0.1,Angry,1.0,
11.0,20,1.0536391879713514,0.1,Fearful,1.0,
11.0,20,1.1271104849804452,0.1,Sad,1.0,
14.333333333333334,20,1.3035091510946586,0.2,Angry,1.0,
16.0,20,0.6035866248081774,0.2,Angry,1.0,
16.5,20,1.0556985735267903,0.2,Fearful,1.0,
20.0,20,1.200572592435252,0.2,Fearful,0.99999976,
20.0,20,0.7656995429995701,0.2,Angry,0.9999999,
17.333333333333332,20,1.0688119500988191,0.2,Neutral,1.0,
17.166666666666668,20,1.814433630766628,0.2,Fearful,1.0,
16.166666666666668,20,1.5701733236712048,0.2,Fearful,1.0,
16.5,20,1.0423304656547812,0.2,Fearful,1.0,
16.333333333333332,20,1.1531021765124096,0.2,Fearful,0.9999999,
16.0,10,1.0096235714218034,0.2,Fearful,0.9999995,
16.833333333333332,10,1.0364598777020146,0.2,Fearful,1.0,
17.0,10,1.2057992805651243,0.2,Fearful,1.0,
16.833333333333332,10,1.0253736842906807,0.2,Angry,1.0,
16.833333333333332,10,1.043748948273639,0.2,Angry,1.0,
17.666666666666668,10,1.4412700190430936,0.2,Angry,1.0,
17.333333333333332,10,1.1211642851206867,0.2,Neutral,1.0,
16.5,10,0.925029510131812,0.2,Angry,1.0,
17.166666666666668,10,1.1637971407113352,0.2,Angry,1.0,
17.5,10,1.584182572941672,0.2,Fearful,1.0,
11.5,10,1.1671260517840398,0.2,Angry,1.0,
24.0,10,0.42728908283570666,0.2,Angry,1.0,
20.5,10,0.4837945805994788,0.2,Angry,1.0,
25.0,10,1.338102114305992,0.2,Angry,1.0,
25.0,10,1.518391815503037,0.2,Angry,1.0,
19.333333333333332,10,1.348310618873704,0.2,Surprised,1.0,
13.5,10,1.5690653386635947,0.2,Angry,1.0,
12.0,10,1.079313078989343,0.2,Neutral,1.0,
12.5,10,1.1491481921110236,0.2,Neutral,1.0,
12.5,10,0.5480001615492478,0.2,Angry,0.9919228,
15.5,20,0.8371053808673015,0.2,Angry,1.0,
14.833333333333334,20,1.0903059139869613,0.2,Angry,1.0,
16.0,20,1.0960827110829943,0.2,Angry,1.0,
15.833333333333334,20,0.8181301514085582,0.2,Angry,1.0,
16.0,20,0.9445739720220432,0.2,Angry,1.0,
16.0,20,1.1593146214261778,0.2,Sad,0.9999995,
15.833333333333334,20,1.4846757637052117,0.2,Fearful,1.0,
16.333333333333332,20,1.1827163766335527,0.2,Angry,1.0,
15.333333333333334,20,1.4172460050482583,0.2,Angry,1.0,
17.0,20,1.3557920163596735,0.2,Fearful,0.9402433,
17.0,10,1.5441186756973626,0.2,Fearful,1.0,
22.0,10,1.6221165913260691,0.2,Angry,1.0,
22.0,10,0.5653062368700714,0.2,Angry,1.0,
16.0,10,0.7271039858305617,0.2,Angry,1.0,
21.0,10,0.5903297673962116,0.2,Angry,1.0,
21.0,10,1.2971894599145135,0.2,Angry,1.0,
11.5,10,1.613483660778384,0.2,Fearful,1.0,
20.0,10,1.5109857759914789,0.2,Angry,1.0,
24.0,10,0.5913032078541249,0.2,Angry,1.0,
24.0,10,1.160476300389424,0.2,Fearful,1.0,
19.5,10,0.7074169888388988,0.2,Angry,1.0,
19.5,10,1.115957392854252,0.2,Fearful,1.0,
16.5,10,1.5169797262275,0.2,Angry,0.944307,
16.5,10,1.1453302486433288,0.2,Fearful,1.0,
11.0,10,1.1386882872986654,0.2,Fearful,1.0,
11.0,10,1.1065286579215228,0.2,Fearful,1.0,
12.0,10,1.1344882079244527,0.2,Fearful,1.0,
49.5,10,1.0433139480323785,0.2,Fearful,1.0,
49.5,10,1.1677162980533506,0.2,Fearful,1.0,
12.5,10,1.1236070446489597,0.2,Fearful,1.0,
11.5,20,1.0903350850671214,0.2,Fearful,1.0,
88.0,20,0.8738423049732698,0.2,Fearful,1.0,
51.0,20,1.1664294965163307,0.2,Fearful,1.0,
51.0,20,1.083335015400257,0.2,Fearful,1.0,
11.0,20,1.0698090976141081,0.2,Fearful,1.0,
11.0,20,1.1242758379736697,0.2,Fearful,1.0,
87.0,20,0.981487571798777,0.2,Neutral,1.0,
88.5,20,0.8821074726329761,0.2,Fearful,1.0,
88.5,20,0.9274352763452623,0.2,Fearful,1.0,
